"Pdf Customiser by Fooman","Pdf Customiser by Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Tilføj dine egne kommentarer som skal fremgå i bunden af fakturaer. Eksempelvis dine bank- og betalingsoplysninger."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Tilføj din egen kommentar til bunden af kreditnotaer"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Tilføj dine egne kommentarer som skal fremgå i bunden af følgesedler"
"Bottom Margin","Bund margin"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Vælg Helvetica, Times eller Courier for at få mindre filstørrelser. Vælg Dejavu-Varianter for at undstøtte flere tegnsæt (UTF-8)."
"Credit Memo Title","Titel på kreditnota"
"Custom Text","Egen tekst"
"Font","Skrifttype"
"Base Font Size","Skriftstørrelse"
"Invoice Title","Titel på faktura"
"Logo for the Pdf","Logo til PDF udskrifter"
"Page Size","Side størrelse"
"Shipment Title","Titel på følgeseddel"
"Side Margins","Side marginer"
"Store Address","Forretnings adresse"
"Tax Details","SE/CVR nr"
"Top Margin","Top margin"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal fremgå på kreditnotaer? Bemærk at ordrer på downloadede produkter ikke har en forsendelsesadresse."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal fremgå på fakturaer? Bemærk at ordrer på downloadede produkter ikke har en forsendelsesadresse."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal fremgå på følgesedler? Bemærk at ordrer på downloadede produkter ikke har en forsendelsesadresse."
"A4","A4"
"letter","brev"
"Billing Address only","Kun betalingsadresse"
"Shipping Address only","Kun forsendelsesadressee"
"Both Addresses","Begge adresser"
"Courier","Kurér"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Underskriv PDF digitalt"
"Signature","Signatur"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopier indholdet af dit certifikat/signatur fil inklusiv din private nøgle her. Inkluder alt fra -----BEGIN RSA PRIVATE KEY----- til -----END CERTIFICATE-----"
"Password of Signature","Signatur password"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal fremgå på ordren? Bemærk at ordrer på downloadede produkter ikke har en forsendelsesadresse."
"Add your custom comments here to appear at the bottom of the Order Pdf.","Tilføj din egen kommentar til bunden af ordrer"
"Order Title","Ordre titel"
"Display","Vis"
"None","Intet"
"Product Image","Produkt billede"
"SKU Barcode","Varenummer stregkode"
"Display Quantity as full number","Vis antal som et helt tal"
"US","US"
"European","Europa"
"Customer Address Format","Kundens adresse format"
"Display Base and Order Currency","Vis standard og ordre valuta"
"Delivery Date","Leveringsdato"
"Display Delivery Date","Vis leveringsdato"
"Displays the date of the invoice again. Needed in some jurisdictions.","Viser datoen for fakturaen igen. Nødvendig i nogle jurisdiktioner."
"Print Order History with Comments","Print ordre historik med kommentarer"
"Single - Shipping Address Label","Enkel - Leveringsadresse etiket"
"Single - Billing Address Label","Enkel - Betalingsadresse etiket"
"Double - Both Addresses","Dobbelt - Begge adresser"
"Use Integrated Labels","Brug integrerede etiketter"
"Print Order as Packing Slip","Print ordre som pakkeseddel"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Brug denne mulighed hvis du ønsker at udskrive pakkesedler uden at skulle oprette forsendelser. Du vil dog mister muligheden for at udskrive pakkesedler med forsendelsen nummer (ordrenummeret bruges i stedet)."
"Footer Block 1","Footer Blok 1"
"Footer Block 2","Footer Blok 2"
"Footer Block 3","Footer Blok 3"
"Footer Block 4","Footer Blok 4"
"Double - Shipping and Return Addresses","Dobbelt - Leverings- og returneringsadresse"
"Return Address","Returadresse"
"Total Weight","Total vægt"
"Display Total Weight","Vis total vægt"
"kg","kg."
"Background Image for Pdf","Baggrunds billede til PDF"
"Placement of Logo","Placering af logo"
"Logo Width","Logo bredde"
"Logo Height","Logo højde"
"Logo top-left Corner from the left","Logo placering (øverste venstre hjørne) fra venstre"
"Logo top-left Corner from the top","Logo placering (øverste venstre hjørne) fra toppen"
"automatic","automatisk"
"no-scaling","ingen skalering"
"manual","manuel"
"Display Email Address","Vis email adresse"
"Displays as part of the billing address.","Vises som en del af faktureringsadressen."
"in milimeters","i millimeter"
"Display Row Subtotal Including Tax","Vis subtotal inklusiv moms"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","er kun  aktiv hvis Moms > Ordre, Fakturaer, Kreditnotaer Displayindstillinger > Priser vises uden moms"
"Grand Total is tax inclusive","Vis total inklusiv moms"
"Display only one Grand Total","Vis kun en total"
"Display detailed Tax Summary","Vis detaljeret moms oplysninger"
"Columns","Kolonner"
"Columns Advanced","Avanceret kolonner"
"Display Background only on first page","Vis kun baggrund på første side"
"Display Page Number","Vis sidenummer"
"Custom Column","Brugerdefinerede kolonne"
"Custom Column Attribute","Brugerdefinerede kolonne attribut"
"Base Amount","Grundbeløb"
"Select up to 5 attributes.","Vælg op til 5 attributter."
"Position","Position"
"Pos","Pos"
"right","Højre"
"left","Venstre"
"Display Pdf in New Window","Vis PDF i nyt vindue"
"Weight Unit","Vægt enhed"
"Barcode Type","Stregkode type"
"Pdf Totals Sort Order","PDF Total sorterings rækkefølge"
"Upload Custom Font","Upload egen skrifttype"
"Don't Use","Brug ikke"
"Custom Label Left - Shipping Address","Tilpasset label venstre - Leveringsadresse"
"Custom Label Right - Shipping Address","Tilpasset labelhøjre - Leveringsadresse"
"Custom Label Left - Billing Address","Tilpasset label venstre - Betalingsadresse"
"Custom Label Right - Billing Address","Tilpasset label højre - Betalingsadresse"
"Display Salesrule instead of Coupon Code","Vis salgs regel i stedet for rabatkode"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Kombinerer gaveindpakning for ordrer, artikler og trykte kort"
"Sort by Column","Sorter efter kolonne"
"Use Alternative Layout","Brug alternative layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Vær sikker på at stregkode typen er passende for indholdet, ellers vil generingen af PDF fejle (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Dobbelt - Forsendelses- og butiksadresse"
