"Feedback detail","Feedback detail"
"Sent to Magestore.com","Sent to Magestore.com"
"Not sent to Magestore.com","Not sent to Magestore.com"
"Feedback Code","Feedback Code"
"Extension","Extension"
"Posted","Posted"
"Coupon","Coupon"
"for discount","for discount"
"to","to"
"Status","Status"
"Feedback","Feedback"
"Attached Files","Attached Files"
"From Admin","From Admin"
"From","From"
"on","on"
"Post Message","Post Message"
"Message","Message"
"Feedback Detail","Feedback Detail"
"View Posted Message","View Posted Message"
"Save","Save"
"Delete","Delete"
"Save And Continue Edit","Save And Continue Edit"
"Resend","Resend"
"Edit Feedback for ","Edit Feedback for "
"ID","ID"
"Is Sent","Is Sent"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Are you sure?","Are you sure?"
"version","version"
"Sent","Sent"
"Not Sent","Not Sent"
"Feedbacks Manager","Feedbacks Manager"
"Post Feedback","Post Feedback"
"1 Domains","1 Domains"
"2 Domains","2 Domains"
"5 Domains","5 Domains"
"10 Domains","10 Domains"
"Unlimited Domain","Unlimited Domain"
"Developer","Developer"
"Enable","Enable"
"Disable","Disable"
"License Info","License Info"
"Enabled","Enabled"
"Disabled","Disabled"
"Extension Feedbacks","Extension Feedbacks"
"This feedback is already sent to Magestore.com","This feedback is already sent to Magestore.com"
"This feedback had been sent to Magestore.com","This feedback had been sent to Magestore.com"
"Item does not exist","Item does not exist"
"This message is already sent","This message is already sent"
"This message had been sent","This message had been sent"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"for upgrade to","for upgrade to"
"Upgrade Now","Upgrade Now"
"Magestore Extensions","Magestore Extensions"
"License Keys","License Keys"
"Allow Everything","Allow Everything"
"Extension Key Management","Extension Key Management"
"MageNotification","MageNotification"
"Magestore Extension","Magestore Extension"
"License Key Management","License Key Management"
"Magestore Extension Key Management","Magestore Extension Key Management"
"Email Configuration","Email Configuration"
"Contact Name","Contact Name"
"Contact email","Contact email"
"General Infomation","General Infomation"
"Update frequency","Update frequency"
"Last update","Last update"
"Magestore Url","Magestore Url"
"Default as general contact","Default as general contact"
"Menu Manager","Menu Manager"
"Add Menu Item","Add Menu Item"
"Load Template","Load Template"
"Template Information","Template Information"
"Code Template","Code Template"
"Template Content","Template Content"
"Up Image Template","Up Image Template"
"Name","Name"
"SKU","SKU"
"Price","Price"
"Product Name","Product Name"
"Type","Type"
"Featured Item","Featured Item"
"Featured Type","Featured Type"
"Categories","Categories"
"Featured Box Title","Featured Box Title"
"Products","Products"
"Featured Categories","Featured Categories"
"Featured Products","Featured Products"
"Header Content","Header Content"
"Footer Content","Footer Content"
"Main Content","Main Content"
"Categories Box Title","Categories Box Title"
"Products Box Title","Products Box Title"
"Save Template","Save Template"
"Delete Template","Delete Template"
"Edit Template","Edit Template"
"Add Template","Add Template"
"Description","Description"
"General information","General information"
"Store View","Store View"
"Link","Link"
"Sort Order","Sort Order"
"Attrib. Set Name","Attrib. Set Name"
"Visibility","Visibility"
"Menu Information","Menu Information"
"General Information","General Information"
"General    Information","General    Information"
"Content","Content"
"Custom Style","Custom Style"
"Save Menu","Save Menu"
"Delete Menu","Delete Menu"
"Edit Menu ","Edit Menu "
"Add Menu","Add Menu"
"Menu Type","Menu Type"
"Static Block","Static Block"
"Change status","Change status"
"Option 1: Add code below to a CMS Page or a Static Block","Option 1: Add code below to a CMS Page or a Static Block"
"Option 2: Add code below to a template file","Option 2: Add code below to a template file"
"Option 3: Add code below to a layout file","Option 3: Add code below to a layout file"
"Template","Template"
"Template Manager","Template Manager"
"Name only","Name only"
"Content only","Content only"
"Product Listing","Product Listing"
"Category Listing","Category Listing"
