"PDF Customiser by Fooman","PDF Customiser απο τον Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Print-out. You could for example include bank account number and terms of payment.","Προσθέστε τα δικά σας σχόλια εδώ ώστε να εμφανιστούν στο κάτω μέρος (υπολεφαλίδα) της εκτύπωσης του Τιμολογίου. Μπορείτε για παράδειγμα να συμπεριλάβετε τον Αριθμό Τραπεζικού Λογαριασμού ή κάποιο διαφημιστικό μύνημα."
"Add your custom comments here to appear at the bottom of the Creditmemo Print-out","Προσθέστε τα δικά σας σχόλια εδώ ώστε να εμφανιστούν στο κάτω μέρος (υπολεφαλίδα) της εκτύπωσης του Πιστωτικού Τιμολογίου."
"Add your custom comments here to appear at the bottom of the Shipment Print-out","Προσθέστε τα δικά σας σχόλια εδώ ώστε να εμφανιστούν στο κάτω μέρος (υπολεφαλίδα) της εκτύπωσης της Φορτωτικής."
"Bottom Margin","Περιθώριο Κάτω"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Διαλέξτε Helvetica, Times ή Courier για ελαφρύτερα αρχεία. Διαλέξτε τις Dejavu-εκδοζές για την υποστήριξη διαφορετικών χαρακτήρων/γλωσσων και ελληνικών (UTF-8)."
"Credit Memo Title","Τιτλος Πιστωτικού Τιμολογίου"
"Custom Text","Δικό σας κείμενο"
"Font","Γραμματοσειρά"
"Font Size","Μέγεθος Γραμματοσειράς"
"Invoice Title","Τίτλος Τιμολογίου"
"Logo for the PDF Print-outs","Λογότυπο για τα PDF"
"Page Size","Μέγεθος Σελίδας"
"Shipment Title","Τίτλος Φορτωτικής"
"Side Margins","Περιθώριο Δεξία-Αριστερά"
"Store Address","Διεύθυνση Καταστήματος"
"Tax Details","Ανάλυση ΦΠΑ"
"Top Margin","Περιθώριο Πάνω"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Ποιά διεύθυνση θέλετε να εμφανίζεται στα Πιστωτικά Τιμολόγια; Παρακαλώ σημειώστε ότι τα αύλα προϊόντα δεν έχουν Διεύθυνση αποστολής."
