"Pdf Customiser by Fooman","Pdf Customiser realizzato da Fooman"
"Add your custom comments here to appear at the bottom of the Invoice Pdf. You could for example include bank account number and terms of payment.","Aggiungi i tuoi commenti che verranno mostrati in fondo alla fattura. Da usare per inserire le coordinate bancarie o i termini di pagamento."
"Add your custom comments here to appear at the bottom of the Creditmemo Pdf","Aggiungi i tuoi commenti che verranno mostrati in fondo alla nota di credito"
"Add your custom comments here to appear at the bottom of the Shipment Pdf","Aggiungi i tuoi commenti che verranno mostrati in fondo alla bolla di spedizione"
"Bottom Margin","Margine Inferiore"
"Choose Helvetica, Times or Courier for smaller filesizes. Choose the Dejavu-Variants to support more characters (UTF-8).","Scegli i font Helvetica, Times o Courier per generare Pdf di dimensioni minori. Usa Dejavu-Variants per supportare il set UTF-8."
"Credit Memo Title","Intestazione nota di credito"
"Custom Text","Testo Opzionale"
"Font","Font"
"Base Font Size","Dimensione Font"
"Invoice Title","Intestazione fattura"
"Logo for the Pdf","Logo da usare nelle stampe"
"Page Size","Dimensioni Pagina"
"Shipment Title","Titolo bolla spedizione"
"Side Margins","Margini Laterali"
"Store Address","Indirizzo del negozio"
"Tax Details","Dettagli Imposte"
"Top Margin","Margine Superiore"
"Which addresses should appear on the Credit Memo? Please note that downloadable product orders don't have a shipping address.","Quale indirizzo deve apparire sulla nota di credito? Ricordati che i prodotti scaricabili non possono avere un indirizzo di spedizione."
"Which addresses should appear on the invoice? Please note that downloadable product orders don't have a shipping address.","Quali indirizzi dovrebbero comparire nella Fattura? Ricordati che i prodotti scaricabili non possono avere un indirizzo di spedizione."
"Which addresses should appear on the packing slip? Please note that downloadable product orders don't have a shipping address.","Quali indirizzi dovrebbero comparire nella bolla di accompagnamento? Ricordati che i prodotti scaricabili non possono avere un indirizzo di spedizione."
"A4","A4"
"letter","lettera"
"Billing Address only","Solo Indirizzo di fatturazione"
"Shipping Address only","Solo Indirizzo per la consegna"
"Both Addresses","Entrambi gli indirizzi"
"Courier","Courier"
"Times New Roman","Times New Roman"
"Helvetica","Helvetica"
"DejaVuSans","DejaVuSans"
"DejaVuSansMono","DejaVuSansMono"
"DejaVuSerif","DejaVuSerif"
"Digitally Sign Pdf","Firma digitale del Pdf"
"Signature","Firma"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Copia i contenuti del tuo file certificato/firma inclusa la tua chiave privata. Includi tutto da -----BEGIN RSA PRIVATE KEY----- a -----END CERTIFICATE-----"
"Password of Signature","Firma della Password"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Aggiungi i tuoi commenti qui per farli apparire nella parte bassa dell'ordine Pdf"
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Quale indirizzo dovrebbe apparire nell'ordine?Prego considera che i prodotti scaricabili non hanno indirizzo di spedizione"
"Display","Visualizza"
"None","Niente"
"Product Image","Immagine Prodotto"
"SKU Barcode","SKU Codice a Barre"
"Display Quantity as full number","Visualizza la quantità come numero"
"US","US"
"European","Europeo"
"Customer Address Format","Formato dell'indirizzo personalizzato"
"Display Base and Order Currency","Visualizza la valuta base e dell'ordine"
"Delivery Date","Data di consegna"
"Display Delivery Date","Visualizza data di consegna"
"Displays the date of the invoice again. Needed in some jurisdictions.","Visualizza la data della fattura ancora.Necessario in alcune giurisdizioni."
"Print Order History with Comments","Stampa la cronologia degli ordini con commenti"
"Single - Shipping Address Label","Singola - Etichetta dell'indirizzo di spedizione"
"Single - Billing Address Label","Singola - Etichetta dell'indirizzo di fatturazione"
"Double - Both Addresses","Doppia - Entrambi gli indirizzi"
"Use Integrated Labels","Usa etichette integrata"
"Print Order as Packing Slip","Stampa ordine Come Bolla di Accompagnamento"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Usa questa opzione se desideri stampare bolla di accompagnamento senza creare al spedizione. Perderai comunque l'abilità di stampare la bolla di accompagnamento con numero di spedizione (verrà usato invece il numero di ordine)."
"Footer Block 1","Piè di pagina Blocco 1"
"Footer Block 2","Piè di pagina Blocco 2"
"Footer Block 3","Piè di pagina Blocco 3"
"Footer Block 4","Piè di pagina Blocco 4"
"Double - Shipping and Return Addresses","Doppia - Indirizzo di Spedizione e Reso"
"Return Address","Indirizzo di Reso"
"Total Weight","Peso Totale"
"Display Total Weight","Visualizza Peso Totale"
"kg","kg"
"Background Image for Pdf","Immagine di Sfondo per il Pdf"
"Placement of Logo","Posizionamento del Logo"
"Logo Width","Larghezza Logo"
"Logo Height","Altezza Logo"
"Logo top-left Corner from the left","Angolo alto-sinistro del Logo da sinistra"
"Logo top-left Corner from the top","Angolo alto-sinistro del Logo dall'alto"
"automatic","automatico"
"no-scaling","no ridimensionamento"
"manual","manuale"
"Display Email Address","Visualizza Indirizzo Email"
"Displays as part of the billing address.","Visualizza come parte dell'indirizzo di fatturazione."
"in milimeters","in millimetri"
"Display Row Subtotal Including Tax","Visualizza il Subtotale della Riga Incluse le Tasse"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","è effettivo solo se Tasse > Ordini, Fattura, Note di credito Impostazioni di visualizzazione > Il prezzo non è impostato su non visualizzare Tasse"
"Grand Total is tax inclusive","Il Gran Totale è inclusivo di Tasse"
"Display only one Grand Total","Visualizza sono Gran Totale"
"Display detailed Tax Summary","Visualizza il Sommario delle Tasse dettagliato"
"Columns","Colonne"
"Columns Advanced","Colonne Avanzate"
"Display Background only on first page","Visualizza Background solo nella prima pagina"
"Display Page Number","Visualizza Numero Pagina"
"Custom Column","Colonne Personalizzate"
"Custom Column Attribute","Attributi delle Colonne Personalizzate"
"Base Amount","Importo Base"
"Select up to 5 attributes.","Selezione più di 5 Attributi."
"Position","Posizione"
"Pos","Pos"
"right","destra"
"left","sinistra"
"Display Pdf in New Window","Visualizza Pdf in una Nuova Finestra"
"Weight Unit","Unità di Peso"
"Barcode Type","Tipo di Barcode"
"Pdf Totals Sort Order","Numero di Ordinamento dei Totali del Pdf"
"Upload Custom Font","Carica Font Personalizzato"
"Don't Use","Non usare"
"Custom Label Left - Shipping Address","Etichetta Personalizzata sinistra - Indirizzo Spedizione"
"Custom Label Right - Shipping Address","Etichetta Personalizzata Destra - Indirizzo Spedizione"
"Custom Label Left - Billing Address","Etichetta Personalizzata sinistra - Indirizzo Fatturazione"
"Custom Label Right - Billing Address","Etichetta Personalizzata Destra - Indirizzo Fatturazione"
"Display Salesrule instead of Coupon Code","Visualizza Regole Vendita invece di Codice Coupon"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combina Carta da Regalo per ordini, elementi e cartoline stampate"
"Sort by Column","Ordine per Colonna"
"Use Alternative Layout","Usa un Layout alternativo"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Prego sii sicuro che il tipo di barcode sia appropriato per il contenuto o la generazione del Pdf potrebbe fallire (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image","Doppio - Spedizione con Indirizzi dello Store e Immagine"
"Page Orientation","Orientamento Pagina"
"Portrait","Portrait"
"Landscape","Landscape"
"Display Tracking Number as Barcode","Visualizza Numero di Tracciatura"
"Display Document Barcode","Visualizza il Barcode del Documento"
